I, [2018-07-31T23:04:34.784984 #26182]  INFO -- Kitchen: -----> Starting Kitchen (v1.21.2)
E, [2018-07-31T23:04:34.785287 #26182] ERROR -- Kitchen: ------Exception-------
E, [2018-07-31T23:04:34.785309 #26182] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-07-31T23:04:34.785323 #26182] ERROR -- Kitchen: Message: Kitchen YAML file /Users/tio/learn-chef/cookbooks/nginx/recipes/.kitchen.yml does not exist.
E, [2018-07-31T23:04:34.785336 #26182] ERROR -- Kitchen: ----------------------
E, [2018-07-31T23:04:34.785348 #26182] ERROR -- Kitchen: ------Backtrace-------
E, [2018-07-31T23:04:34.785370 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-07-31T23:04:34.785382 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/config.rb:152:in `data'
E, [2018-07-31T23:04:34.785394 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-07-31T23:04:34.785415 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-07-31T23:04:34.785438 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-07-31T23:04:34.785459 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-07-31T23:04:34.785471 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-07-31T23:04:34.785482 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-07-31T23:04:34.785494 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command/action.rb:35:in `block in call'
E, [2018-07-31T23:04:34.785506 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-07-31T23:04:34.785518 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/command/action.rb:34:in `call'
E, [2018-07-31T23:04:34.785538 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-07-31T23:04:34.785549 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/cli.rb:193:in `block (2 levels) in <class:CLI>'
E, [2018-07-31T23:04:34.785560 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-07-31T23:04:34.785571 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-07-31T23:04:34.785583 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-07-31T23:04:34.785594 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-07-31T23:04:34.785605 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-07-31T23:04:34.785616 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-07-31T23:04:34.785631 #26182] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.21.2/bin/kitchen:13:in `<top (required)>'
E, [2018-07-31T23:04:34.785642 #26182] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:270:in `load'
E, [2018-07-31T23:04:34.785653 #26182] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:270:in `<main>'
E, [2018-07-31T23:04:34.785664 #26182] ERROR -- Kitchen: ----End Backtrace-----
